"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 02","10497471833.jpg","1980.420","Metropolitan Museum of Art","photos11201","NA  addl Stepping Out Roy Lichtenstein (American, New York 1923–1997 New York) Date: 1978 Medium: Oil and Magna on canvas Accession Number: 1980.420 On view in Gallery 924","NA,2D,Art2or3,Inhabited,single,Artwork_number,full,Framing,painting,Artwork","Painting"
"SET 02","10499385755.jpg","1987.282, L.2010.4","Chuck Close, meet Alex Katz","photos11201","NA  addl Lucas I Chuck Close (American, born Monroe, Washington, 1940) Date: 1986–87 Medium: Oil and graphite on canvas Accession Number: 1987.282 On view in Gallery 915  Rosamond and John Alex Katz (American, born Brooklyn, New York, 1927) Date: 2007 Medium: Oil and colored pencil on canvas Accession Number: L.2010.4 On view in Gallery 915 no image available ","NA,2D,Art2or3,multiple,Artwork_number,painting,Artwork","Painting"
"SET 02","10952760743.jpg","-","2013-11-11 - European Paintings, 1250-1800 - Peter Paul Rubens - A Commander Being Dressed for Battle","zigwaffle","&quot;1612-14. Oil on wood&quot;;;&quot;This dazzling work, in which two pages prepare a commander for battle, is a sort of homage to Venetian painting, and more specifically, to Titian, whose paintings Rubens deeply admired. It was painted around 1612-13, just three years after Rubens returned to Antwerp from Italy. The youth holding the commander's helmet is based on a life study and reappears in the other paintings by Rubens. The armor is of the sixteenth century, underscoring the imaginative character of the picture, which is not a portrait of a particular person but an emblematic depiction of a warrior.&quot;   addl A Commander Being Dressed for Battle,” a Rubens (1612-14) not online ","zigwaffle: 2013,zigwaffle: art,zigwaffle: metropolitanmuseumofart,zigwaffle: nyc,zigwaffle: newyork,Department,2D,Art2or3,single,Artwork_number,full,Framing,painting,Artwork","Painting"
"SET 02","11292271453.jpg","ink art exhibition","Ink Art: Past As Present in Contemporary China, Metropolitan Museum of Art","rebekah burgess abramovich","Press Preview. Ink Art: Past As Present in Contemporary China","rebekah burgess abramovich: metropolitanmuseumofart,rebekah burgess abramovich: metmuseum,rebekah burgess abramovich: gothamist,rebekah burgess abramovich: museum,rebekah burgess abramovich: exhibit,rebekah burgess abramovich: ink,rebekah burgess abramovich: art,rebekah burgess abramovich: inkart,2D,Art2or3,Inhabited,single,Artwork_number,partial,Framing,Artwork,drawing","Drawing"
"SET 02","11292149645.jpg","ink art exhibition","Ink Art: Past As Present in Contemporary China, Metropolitan Museum of Art","rebekah burgess abramovich","Press Preview. Ink Art: Past As Present in Contemporary China","rebekah burgess abramovich: metropolitanmuseumofart,rebekah burgess abramovich: metmuseum,rebekah burgess abramovich: gothamist,rebekah burgess abramovich: museum,rebekah burgess abramovich: exhibit,rebekah burgess abramovich: ink,rebekah burgess abramovich: art,rebekah burgess abramovich: inkart,Art2or3,2D,multiple,Artwork_number,Artwork,drawing","Drawing"
"SET 02","11323948444.jpg","1979.396.1","Camera Roll-1639","howardwood","NA   addl google image Study of a Young Woman Johannes Vermeer (Dutch, Delft 1632–1675 Delft) Date: ca. 1665–67 Medium: Oil on canvas Accession Number: 1979.396.1 On view in Gallery 632","NA,2D,Art2or3,single,Artwork_number,full,Framing,painting,Artwork","Painting"
"SET 02","11323936864.jpg","58.187","Camera Roll-1635","howardwood","NA  addl google image Irises Vincent van Gogh (Dutch, Zundert 1853–1890 Auvers-sur-Oise) Date: 1890 Medium: Oil on canvas Accession Number: 58.187 On view in Gallery 826","NA,2D,Art2or3,single,Artwork_number,full,Framing,painting,Artwork","Painting"
"SET 02","11340353815.jpg","1975.426","Standing Female","Joe Josephs: 1,355,720 views - thank you","Elie Nadelman -- 1908;Metropolitan Museum of Art;New York City   addl Standing Female Elie Nadelman (American (born Poland), Warsaw 1882–1946 Riverdale, New York) Date: ca. 1908 Medium: Bronze, gilt Accession Number: 1975.426 On view in Gallery 772","'Joe Josephs: 1,355,720 views - thank you: newyorkcity,Joe Josephs: 1,355,720 views - thank you: nikond800e,Joe Josephs: 1,355,720 views - thank you: nikon58mm14g,Joe Josephs: 1,355,720 views - thank you: manhattan,Joe Josephs: 1,355,720 views - thank you: metropolitanmuseumofart,Joe Josephs: 1,355,720 views - thank you: met,Joe Josephs: 1,355,720 views - thank you: art,Joe Josephs: 1,355,720 views - thank you: artmuseums,Joe Josephs: 1,355,720 views - thank you: sculpture,Joe Josephs: 1,355,720 views - thank you: culture,Joe Josephs: 1,355,720 views - thank you: joejosephs,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephsphotography,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs2013,',Joe Josephs: 1,355,720 views - thank you: metropolitanmuseumofar,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephspho,Joe Josephs: 1,355,720 views - thank you: copyrightjoejosephs201,2D,Art2or3,Description,3D,multiple,Artwork_number,one-focal,Artwork,sculpture,painting_and_sculpture","Sculpture"
"SET 02","10912511036.jpg","20.155.2","Empty Benches TheMET(172_take 2)","rverc","The New ( Spring, 2013 ) European Galleries and new Rembrandt benches.;.;(hmmmm, now, wait a second...are we looking at them..., or,...are they looking at us? ); ;&quot;Portraits&quot; continues in Identify the Artist series Week 10;Standings...;Trish Mayo 193;puzapose 166;marksobers 76;tie 4th;evy2010 6;mystuart 6;hans s 6;Love Light 5;;  addl Man in Oriental Costume ('The Noble Slav') Rembrandt (Rembrandt van Rijn) (Dutch, Leiden 1606–1669 Amsterdam) Date: 1632 Medium: Oil on canvas Accession Number: 20.155.2 On view in Gallery 637","rverc: emptybenches,rverc: europeanpaintings,rverc: metropolitanmusuem,rverc: rembrandtvanrijn,rverc: art,rverc: nyc,rverc: met,European,Department,2D,Art2or3,multiple,Artwork_number,painting,Artwork","Painting"
"SET 02","10952747165.jpg","49.7.35","2013-11-11 - European paintings, 1250-1800 - Rembrandt - The Standard Bearer","zigwaffle"," addl The Standard Bearer (Floris Soop, 1604–1657) Rembrandt (Rembrandt van Rijn) (Dutch, Leiden 1606–1669 Amsterdam) Date: 1654 Medium: Oil on canvas Accession Number: 49.7.35 On view in Gallery 637","zigwaffle: 2013,zigwaffle: art,zigwaffle: metropolitanmuseumofart,zigwaffle: nyc,zigwaffle: newyork,2D,Art2or3,single,Artwork_number,full,Framing,painting,Artwork","Painting"
