"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 33","3834065346.jpg","-","Georgia keeps an eye on people looking at her art","CVerwaal","Marble bust of Georgia O'Keeffe, 1927 by Gaston Lachaise; Metropolitan Museum of Art.;Olympus E-p1 with a vintage Zuiko OM 28mm f2.8 lens;","CVerwaal: gastonlachaise,CVerwaal: marble,CVerwaal: bust,CVerwaal: dof,CVerwaal: olympus,CVerwaal: om,CVerwaal: nyc,CVerwaal: newyork,CVerwaal: newyorkcity,CVerwaal: georgiaokeeffe,CVerwaal: olympusep1,CVerwaal: zuiko28mmf28,CVerwaal: metropolitanmuseumofart,Description,3D,Art2or3,2D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 33","1718094061.jpg","2005.509.15","NYC - Metropolitan Museum of Art - Heavenly Horse","wallyg","<i>Heavenly Horse</i>;Xu Beihong (1895-1953);Dated 1942;Hanging Scroll; ink on paper;;All his life, Xu Beihong championed the revitalization of Chinese painting through an integration of Western-style realism and Chinese brush techniques. Here, using sharp tonal contrasts of ink and white paper, Xu's swift rendition of this noble steel embodies the spirit of a tradition &quot;ink play.&quot; The horse's naturalistic pose is deftly captured in abbreviated brushwork. The chiaroscuro modeling of its form is more subjective than scientific, but the horse's accurate anatomy and the convincing foreshortening of its body reflect Xu's solid grounding in Western academic art. The hauteur of the unleashed, unmounted animal is essentially Western in character, whereas its mane and tail, blowing unnaturally in opposite directions, attests to the artist's ultimately subjective (Chinese) approach.;;Xu's passionate images of horses, a traditional symbol of Chinese martial spirit, were intended to inspire patriotic resistance during the Sino-Japanese War. Here, for example, the artist reveals his own sense of frustration by adding a poem by Du Fu (712-770) that describes a famous breed of war horses that had been put to pasture because of their old age despite their continued willingness to fight:;;<i>Nanshi [in Gansu province] is a congenial habitat for heavenly horses;;Tens of thousands of them are always stalwart.;Floating clouds expand across the vast frontier;;Autumn grasses grow tall over the mountains;I have heard that the pure bloodline of dragon horses;Lives on in the aging Sushuang horse.;Neighing sadly longing to fight,;It stands tall facing the sky.</i>;;Partial and Promised Gift of Richard M. Lai, Jill Lai Miller, and Larry C. Y. Lai in memory of Taiyi Lin Lai (2005.509.15) ;;**;The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building.;;In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list.;;The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. ;;National Historic Register #86003556  addl accession","wallyg: heavenlyhorse,wallyg: xubeihong,wallyg: asianart,wallyg: metropolitanmuseumofart,wallyg: metropolitanmuseum,wallyg: museum,wallyg: art,wallyg: nyc,wallyg: gothamist,wallyg: newyorkcity,wallyg: manhattan,wallyg: landmark,wallyg: artmuseum,wallyg: museummile,wallyg: themet,wallyg: ues,wallyg: uppereastside,wallyg: nyclpc,wallyg: newyorkcitylandmarkspreservationcommission,wallyg: newyork,wallyg: ny,wallyg: nationalregisterofhistoricplaces,wallyg: nrhp,wallyg: usnationalregisterofhistoricplaces,wallyg: nationalhistoriclandmark,wallyg: nhl,wallyg: usnationalhistoriclandmark,Description,DescriptionInDesc,AccessionInDesc,2D,Art2or3,drawing,Artwork","Drawing"
"SET 33","3843499759.jpg","-","The Last Supper and the Washing of the Apostle's Feet","IslesPunkFan","Leaf from a Royal Psalter;Tempera and gold on parchment;English, Court School, probably London;Painted about 1250-70;;Taken on a trip to the Metropolitan Museum of Art in NYC on 8/21/09.","IslesPunkFan: museum,IslesPunkFan: art,IslesPunkFan: newyork,IslesPunkFan: ny,IslesPunkFan: nyc,IslesPunkFan: thelastsupper,IslesPunkFan: thewashingoftheapostlesfeet,IslesPunkFan: leaf,IslesPunkFan: royalpsalter,IslesPunkFan: medieval,IslesPunkFan: parchment,IslesPunkFan: met,IslesPunkFan: metropolitanmuseumofart,IslesPunkFan: metropolitanmuseum,Description,2D,Art2or3,drawing,Artwork","Drawing"
"SET 33","3803666973.jpg","-","NA","jaar aee","NA","jaar aee: nyc,jaar aee: metmuseum,jaar aee: arabic,jaar aee: themetropolitanmuseum,jaar aee: museum,2D,Art2or3,drawing,Artwork","Drawing"
"SET 33","3881530451.jpg","-","neww york city metropolitan museum of art glass display","photographynatalia","NA","photographynatalia: newyorkcity,photographynatalia: newyork,photographynatalia: metropolitanmuseum,photographynatalia: glass,photographynatalia: exhibit,Art2or3,decorative_object,Artwork,3D","Decorative_Object"
"SET 33","1659495658.jpg","06.144","NYC - Metropolitan Museum of Art - The Triumph of Aemilius Paulus","wallyg","<i> The Triumph of Aemilius Paulus</i>;Carle Vernet (Antoine Charles Horace) (French, 1758-1836);1789;Oil on canvas; 51 1/8 x 172 1/2 in. (129.9 x 438.2 cm); ;The painting illustrates the procession celebrating the victory of the Roman general, Aemilius Paulus, over King Perseus of Macedonia in 168 B.C. Aemilius is shown on the gold chariot on the right followed by prisoners, among whom is Perseus with his family. The temple of Jupiter Capitolinus with its hundred steps dominates the background. The picture was begun in 1787 and was presented as Vernet's reception piece to the French Royal Academy in 1789. It was exhibited in the Salon in 1789 and 1791. A <i>Funeral of Patrocles</i> was planned as a pendant but was never finished. ;;Gift of Darius O. Mills, 1906 (06.144);;**;The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building.;;In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list.;;The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. ;;National Historic Register #86003556  addl accession","wallyg: metropolitanmuseumofart,wallyg: metropolitanmuseum,wallyg: museum,wallyg: art,wallyg: nyc,wallyg: gothamist,wallyg: newyorkcity,wallyg: manhattan,wallyg: aia150,wallyg: landmark,wallyg: artmuseum,wallyg: museummile,wallyg: themet,wallyg: ues,wallyg: uppereastside,wallyg: nyclpc,wallyg: newyorkcitylandmarkspreservationcommission,wallyg: painting,wallyg: thetriumphofaemiliuspaulus,wallyg: triumphofaemiliuspaulus,wallyg: aemiliuspaulus,wallyg: carlevernet,wallyg: antoinecharleshorace,wallyg: newyork,wallyg: ny,wallyg: nationalregisterofhistoricplaces,wallyg: nrhp,wallyg: usnationalregisterofhistoricplaces,wallyg: nationalhistoriclandmark,wallyg: nhl,wallyg: usnationalhistoriclandmark,Description,AccessionInDesc,2D,Art2or3,painting,Artwork","Painting"
"SET 33","2072882704.jpg","32.100.81","Salome with the Head of John the Baptist by Andrea Solario in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Salome with the Head of Saint John the Baptist, probably ca. 15067;Andrea Solario (Italian, Milanese, active by 1495, died 1524);Oil on wood; 22 1/2 x 18 1/2 in. (57.2 x 47 cm);The Friedsam Collection, Bequest of Michael Friedsam, 1931 (32.100.81);;Solario painted a number of variants on the present composition, of which this is one of the most notable. Its figure style is influenced by Leonardo da Vinci as well as by Northern artists, especially Joos van Cleve and Lucas Cranach.;;The subject itself, the rather gruesome one of the executioner placing the Baptist's head in a salver for the waiting Salome, was popular among Leonardo's followers, and many of the Milanese paintings of Salome probably derive from a lost composition by the master. These paintings depict the moment in the Gospel of Mark (6:2128) when the young Salome, daughter of Herod's wife Herodias, is granted her wish to have John the Baptist executed. Although this theme has been painted by numerous artistswith both full- and half-length figuresit is rare for the executioner to be so severely cropped that we see only his outstretched arm. This arm, with its clenched fist and rough drapery, is an unsettling synecdoche for the man as a whole.;;Conspicuously signed in the lower right corner, the Salome is one of Solario's finest paintings and is completely characteristic of his style. It is worked up to a high finish, with some astonishing effects: the reflections and sheen of the silver basin, the transparent bodice of Salome's dress, the delicacy of description of the Baptist's head, and the marbling of the parapet. Above all, Salome's jewelry and the ornamentation of her dress are imagined and painted with the utmost precision and care.;;Text from: <a href=http://www.metmuseum.org/toah/hd/nirp/hod_32.100.81.htm>www.metmuseum.org/toah/hd/nirp/hod_32.100.81.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: met,ElissaSCA: museum,ElissaSCA: mma,ElissaSCA: art,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: renaissance,ElissaSCA: painting,ElissaSCA: fujifinepixs6000fd,ElissaSCA: italian,ElissaSCA: head,DescriptionInDesc,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 33","2082856748.jpg","09.184.4","Youth with a Surgical Cut in the Right Eye in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Youth with a Surgical Cut in the Right Eye;ca. 190-210 AD;Encaustic on limewood;;Accession # 09.184.4;;The faint growth of hair on the jaws and upper lip identify the subject of this painting as a youth. Remarkably, his right eye seems to show signs of an abnormality that has been treated. The grayish fold of skin below the lower lid, the lack of lashes, and the slightly slack right cheek may be traces of the abnormality; the straight line on the lower lid suggests a surgical cut to relieve the condition. The palette of this panel is considerably lighter than that of the other panels in these galleries, but it does resemble that of certain paintings from Hawara in the Fayum.;;Text from the Metropolitan Museum of Art label.","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: egyptian,ElissaSCA: portrait,ElissaSCA: painting,ElissaSCA: roman,ElissaSCA: empire,ElissaSCA: fujifinepixs6000fd,ElissaSCA: egypt,Description,AccessionInDesc,2D,Art2or3,painting,Artwork","Painting"
"SET 33","2098769935.jpg","-","NYC - Metropolitan Museum of Art - Portrait of DeWitt Clinton","wallyg","<i>Portrait of De Witt Clinton</i>;Rembrandt Peale (American, 1778-1860);1823;Oil on canvas;;Rembrandt Peale's bust-length portrait of De Witt Clinton (1769-1828) presents a classicized image of the American politician silhouetted against a golden background. Elected governor of New York in 1817, Clinton is perhaps best remembered for his role in promoting construction of the Erie Canal. In gratitude for his support, the merchants of New York's Pearl Street presented him with two magnificent silver vases manufactured by the Philadelphia firm of Fletcher &amp; Gardiner on display in the special exhibition <i>Silversmiths to the Nation: Thomas Fletcher and Sidney Gardiner, 1808-1842</i>;;Historical Society of Pennsylvania Collection, Atwater Kent Museum of Philadelphia;;**;;The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building.;;In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list.;;The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. ;;National Historic Register #86003556","wallyg: painting,wallyg: portrait,wallyg: rembrandtpeale,wallyg: dewittclinton,wallyg: metropolitanmuseumofart,wallyg: metropolitanmuseum,wallyg: museum,wallyg: art,wallyg: landmark,wallyg: artmuseum,wallyg: museummile,wallyg: themet,wallyg: ues,wallyg: uppereastside,wallyg: nyclpc,wallyg: newyorkcitylandmarkspreservationcommission,wallyg: nyc,wallyg: gothamist,wallyg: newyorkcity,wallyg: manhattan,wallyg: newyork,wallyg: ny,wallyg: nationalregisterofhistoricplaces,wallyg: nrhp,wallyg: usnationalregisterofhistoricplaces,wallyg: nationalhistoriclandmark,wallyg: nhl,wallyg: usnationalhistoriclandmark,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 33","2101652495.jpg","29.100.6","NYC - Metropolitan Museum of Art - View of Toledo","wallyg","<i>View of Toledo</i> ;El Greco (Domenikos Theotokopoulos) (Greek, 1541-1614);Oil on canvas; 47 3/4 x 42 3/4 in. (121.3 x 108.6 cm);;Domenikos Theotokopoulos shows Toledo, where he lived for nearly forty years, from the north, but includes only the easternmost portion. This partial view--El Greco's only independent landscape that survives, would have excluded the cathedral, which he therefore reimagines to the left of the dominant Alcazar palace. A string of buildings descends a steep hill to the Roman Alcantara Bridge, while on the other side of the Tagus is shown the Castle of San Servando. Another cluster of buildings is shown on a cloud-like form below the castle. The painting belongs to the tradition of emblematic city views. AS with El Greco's finest portaits, its approach is interpretive rather than documentary; it seeks to potray the essence of the city rather than to document its actual appearance. In Aristotelean terms, it substitutes poetic for historic truth.;;The picture was in El Greco's studio at his death and was later purchased by Pedro Laso de la Vega, he Conde de Arcos--a major collector who owned at least seven paintings by El Greco (possibly including the museum's Portrait of a Cardinal.);;H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929 (29.100.6) ;;**;;The <a href=http://www.flickr.com/photos/wallyg/246896968/>Metropolitan Museum of Art</a>'s permanent collection contains more than two million works of art from around the world. It opened its doors on February 20, 1872, housed in a building located at 681 Fifth Avenue in New York City. Under their guidance of John Taylor Johnston and George Palmer Putnam, the Met's holdings, initially consisting of a Roman stone sarcophagus and 174 mostly European paintings, quickly outgrew the available space. In 1873, occasioned by the Met's purchase of the Cesnola Collection of Cypriot antiquities, the museum decamped from Fifth Avenue and took up residence at the Douglas Mansion on West 14th Street. However, these new accommodations were temporary; after negotiations with the city of New York, the Met acquired land on the east side of <a href=http://www.flickr.com/photos/wallyg/sets/72157594192309086/>Central Park</a>, where it built its permanent home, a red-brick Gothic Revival stone &quot;mausoleum&quot; designed by American architects Calvert Vaux and Jacob Wrey Mold. As of 2006, the Met measures almost a quarter mile long and occupies more than two million square feet, more than 20 times the size of the original 1880 building.;;In 2007, the Metropolitan Museum of Art was ranked #17 on the AIA 150 America's Favorite Architecture list.;;The Metropolitan Museum of Art was designated a landmark by the New York City Landmarks Preservation Commission in 1967. The interior was designated in 1977. ;;National Historic Register #86003556  addl accession","wallyg: domenikostheotokopoulos,wallyg: painting,wallyg: elgreco,wallyg: viewoftoledo,wallyg: toledo,wallyg: metropolitanmuseumofart,wallyg: metropolitanmuseum,wallyg: museum,wallyg: art,wallyg: landmark,wallyg: artmuseum,wallyg: museummile,wallyg: themet,wallyg: ues,wallyg: uppereastside,wallyg: nyclpc,wallyg: newyorkcitylandmarkspreservationcommission,wallyg: nyc,wallyg: gothamist,wallyg: newyorkcity,wallyg: manhattan,wallyg: newyork,wallyg: ny,wallyg: nationalregisterofhistoricplaces,wallyg: nrhp,wallyg: usnationalregisterofhistoricplaces,wallyg: nationalhistoriclandmark,wallyg: nhl,wallyg: usnationalhistoriclandmark,Description,AccessionInDesc,2D,Art2or3,painting,Artwork","Painting"
