"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 35","3579886452.jpg","-","BGeraldCantorSculptureGallery_TheMET","rverc","<a href=http://bighugelabs.com/onblack.php?id=3579886452&amp;size=large rel=nofollow>View On Black</a>","rverc: nyc,rverc: metropolitanmuseum,rverc: met,rverc: sculpture,rverc: europeanpaintings,3D,Art2or3,2D,Inhabited,Artwork,painting_and_sculpture","Sculpture"
"SET 35","3631548455.jpg","52.184","interior art court","testher83","garden  addl Panoramic View of the Palace and Gardens of Versailles John Vanderlyn (American, Kingston, New York 1775–1852 Kingston, New York) Date: 1818–19 Medium: Oil on canvas Accession Number: 52.184 On view in Gallery 735","testher83: american,testher83: wing,testher83: americanwing,Stylized,2D,Art2or3,period_room,Artwork","Period_Room"
"SET 35","3638627045.jpg","-","religious","testher83","painting of St. Joan","testher83: met,testher83: museum,testher83: metropolitan,Stylized,3D,Art2or3,2D,Inhabited,painting,Artwork","Painting"
"SET 35","2684747631.jpg","-","The Weeders","Maulleigh","Artist;Jules Breton (French, 18271906);;Title;The Weeders;;Date;1868;;Medium;Oil on canvas;;Dimensions;28 1/8 x 50 1/4 in. (71.4 x 127.6 cm);;This is a smaller variant of Breton's painting &quot;The Weeders&quot; of 1860 (Joslyn Art Museum, Omaha, Nebraska), which was widely admired at the Salon of 1861 and the 1867 Exposition Universelle in Paris. Breton wrote in his autobiography that one evening in the fields near his native village of Courrieres in northern France he had come across this twilight scene of peasants pulling up &quot;thistles and weeds . . . their faces haloed by the pink transparency of their violet hoods, as if to venerate a fecundating star.&quot; It had presented itself to him as a &quot;finished picture,&quot; completed even as far as &quot;the breadth of the lines, intensity of the effect, character, richness and simplicity.&quot;","Maulleigh: the,Maulleigh: weeders,Maulleigh: jules,Maulleigh: breton,Maulleigh: metropolitan,Maulleigh: museum,Maulleigh: art,Maulleigh: new,Maulleigh: york,Maulleigh: city,Maulleigh: metropolitanmuseum,Maulleigh: met,2D,Art2or3,painting,Artwork","Painting"
"SET 35","2793538903.jpg","-","Salisbury Cathedral from the Bishop's Grounds, 1825","Maulleigh","John Constable (English, 17761837);;Title;Salisbury Cathedral from the Bishop's Grounds;;Date;ca. 1825;;Medium;Oil on canvas;;Dimensions;34 5/8 x 44 in. (87.9 x 111.8 cm);;;In 1822, John Fisher, bishop of Salisbury, commissioned John Constable to paint the version of this composition now in the Victoria and Albert Museum, London. (Fisher and his wife are visible at lower left in all versions of the composition). In July 1824, he asked Constable to revise it, whereupon the present canvas was begun. Infrared reflectography reveals that it started with an outline traced from the first version, and that the artist then improvised directly on the canvas, painting in the sky and opening up the foliage arching over the south transept to give the spire a more dominant role in the composition. In Constable's estate sale, this work was described as &quot;nearly finished.&quot; It is indeed a study for the final version, completed in 1826 (Frick Collection, New York).","Maulleigh: salisbury,Maulleigh: cathedral,Maulleigh: from,Maulleigh: bishops,Maulleigh: grounds,Maulleigh: john,Maulleigh: constable,Maulleigh: metropolitan,Maulleigh: museum,Maulleigh: art,Maulleigh: new,Maulleigh: york,Maulleigh: metropolitanmuseum,Maulleigh: met,Maulleigh: painting,Maulleigh: 1825,DescriptionInDesc,Description,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3083017955.jpg","-","Metropolitan Musum","Mia :)","NA","NA,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3083018883.jpg","-","a close-up","Mia :)","NA","NA,2D,Art2or3,Inhabited,painting,Artwork","Painting"
"SET 35","3083019329.jpg","-","Maria Magdalena by Caravaggio, Metropolitan Musum","Mia :)","Please somebody correct me if i'm wrong ..","NA,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3083019723.jpg","-","Benjamin Franklin, Metropolitan Musum","Mia :)","a &quot;must have&quot; :)","NA,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3083855780.jpg","-","Metropolitan Musum","Mia :)","NA","NA,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3083857992.jpg","-","Vincent Van Gogh, Metropolitan Musum","Mia :)","NA","NA,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3389290914.jpg","-","Vampire","grtaylor2","Metropolitan Museum of Art / NYC","grtaylor2: edvardmunch,grtaylor2: lovepain,grtaylor2: newyork,grtaylor2: vacation,grtaylor2: met,grtaylor2: museum,grtaylor2: art,grtaylor2: grt2,grtaylor2: canon,grtaylor2: photo,grtaylor2: photography,grtaylor2: love,grtaylor2: themet,grtaylor2: metropolitanmuseumofart,grtaylor2: nyc,grtaylor2: 35mm,grtaylor2: scan,grtaylor2: metropolitanmuseum,grtaylor2: grtaylor2,grtaylor2: fineart,Description,2D,Art2or3,Inhabited,painting,Artwork","Painting"
"SET 35","3424139471.jpg","-","MET MUSEUM","testher83","S/W Ver: 97.04.2BR","testher83: metropolitan,testher83: museum,testher83: paintings,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3473699156.jpg","65.184","Lydia_TheMET(2)","rverc","Mary Cassatt American, 1844-1926;;Detail from: <b><i>Lydia Crochting in the Garden at Marly </i></b>;Oil on canvas 1880;;Mary Cassatt, an aristocratic Philadelphian, spent her adult life working in France. She participated in four of the eight Impressionist exhibitions and befriended a number of contemporary artists, most notably Edgar Degas. Cassatts older, invalid sister Lydia posed for this painting two years before her death. The setting is the garden of the familys rented villa at Marley-le-roi, near Paris;;Gift of Mrs. Gardiner Cassatt, 1965;65.184;;;From the placard: Metropolitan Museum of Art.;( for Ambertides)  addl accession","rverc: met,rverc: nyc,rverc: metropolitanmuseum,rverc: europeanpaintings,rverc: art,rverc: marycassatt,rverc: bench42,rverc: bench41,Description,AccessionInDesc,2D,Art2or3,painting,Artwork","Painting"
"SET 35","3579730194.jpg","-","Painting Detail Mother","Trish Mayo","A Family Group, ca 1850 by an Unknown Artist.;;The family depicted in these portraits is unidentifed. Details suggest that the child is deceased: the woman wears a cameo brooch of Orpheus, a reference to the myth of Orhpeus' attempt to rescue his beloved Eurydice from the underworld. The adults (I did not photograph the father) wear black clothing. ;;I photographed this because of the resemblence between the child and the mother and the wonderful details in the clothing and faces.","Trish Mayo: metropolitanmuseum,Trish Mayo: painting,Trish Mayo: americanwing,Art2or3,2D,painting,Artwork","Painting"
"SET 35","3579730980.jpg","-","Painting Detail Child","Trish Mayo","A Family Group, ca 1850 by an Unknown Artist.;;The family depicted in these portraits is unidentified. Details suggest that the child is deceased: the woman wears a cameo brooch of Orpheus, a reference to the myth of Orhpeus' attempt to rescue his beloved Eurydice from the underworld. The adults (I did not photograph the father) wear black clothing. ;;I photographed this because of the resemblence between the child and the mother and the wonderful details in the clothing and faces.","Trish Mayo: metropolitanmuseum,Trish Mayo: painting,Trish Mayo: americanwing,Trish Mayo: gununeniyisi,Trish Mayo: thebestofday,Art2or3,2D,painting,Artwork","Painting"
"SET 35","3579893394.jpg","-","OccupiedBenches_TheMET(85)","rverc","Gallery 820 - Pissarro;;Part of Nineteenth-Century, Modern, and Contemporary Art;<a href=http://www.metmuseum.org/collections/galleries/ncmc/820 rel=nofollow>www.metmuseum.org/collections/galleries/ncmc/820</a>;","rverc: nyc,rverc: metropolitanmuseum,rverc: met,rverc: pierrebonnard,rverc: bonnard,rverc: henrimatisse,rverc: camillepissarro,rverc: matisse,rverc: pissarro,rverc: occupied,rverc: benches,rverc: art,rverc: europeanpaintings,Art2or3,2D,Inhabited,painting,Artwork","Painting"
"SET 35","3593272385.jpg","-","IMG_7547","innes b","NA","innes b: metropolitanmuseum,2D,Art2or3,Inhabited,painting,Artwork","Painting"
"SET 35","3594859057.jpg","-","Metropolitan Museum of Art, NY","Johnk85","NA","Johnk85: metropolitan,Johnk85: museum,Johnk85: art,Johnk85: new,Johnk85: york,Johnk85: johnk85,Johnk85: photography,2D,Art2or3,painting,Artwork","Painting"
