"Category","File Name","Job Identifier","Title","Creator","Description","Keywords","Artwork_Type"
"SET 21","2116049300.jpg","03.14.6","Detail of the Man and Woman Seated Side by Side Wall Painting from the Villa of P. Fannius Synistor at Boscoreale in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Man and woman seated side by side: From Room H of the Villa of P. Fannius Synistor at Boscoreale, ca. 4030 B.C.; Late Republican;Roman;Wall painting; Fresco: 69 x 76 in. (175.3 x 193 cm);Rogers Fund, 1903 (03.14.6);;This fresco panel from Boscoreale depicts a man and woman seated side by side. To the right is the heroic figure of a semi-nude man lounging on an elaborate, gilded chair. A dark-colored himation is loosely draped across his loins. Unfortunately, damage to the fresco has obliterated the upper part of the man's head, which was turned in profile toward the woman seated to his right. He rests his hands on a short gilded staff firmly set on the ground in front of him. Most likely this is a scepter, an ancient symbol of regal power that was also an attribute of Zeus, ruler of the Olympian gods. For Hellenistic dynasts, the scepter retained a strong meaning of justice. The late third-century B.C. philosopher Theophrastus advised that 'the true king should rule by the scepter and not the spear&quot; (Peri basileias II).;;To the left is a seated woman wearing a chiton and a himation that is drawn up over the back of her head. She rests her feet on a gilded footstool, and leans her chin on her hand in a gesture of reflection. Based on stylistic comparisons with other works of art, it has been suggested that the seated figures represent Achilles and his mother Thetis. For the spectator in antiquity, the woman's melancholy countenance and the gesture with her right hand may have been read as expressions of Thetis' concern or grief at the fate of her only son. More recently, however, it has been suggested that the woman represents the wife of the seated Hellenistic ruler to her left. As Roman aristocrats greatly admired Alexander the Great and the first generation of his successors, this seated ruler may be a dynast of the early Hellenistic period. The inclusion of this panel and the others that once adorned Room H of the villa at Boscoreale would have created a majestic interior that had particular relevance to political life in Rome during the time the villa was decorated, sometime between 60 and 30 B.C. This period in Roman history witnessed a series of great military rulersPompey the Great, Julius Caesar, and Marc Antonyall of whom were viewed as latter-day Alexanders who eventually would conquer the East for Rome.;;Text from: <a href=http://www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm>www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: painting,ElissaSCA: boscoreale,ElissaSCA: woman,ElissaSCA: villa,ElissaSCA: fujifinepixs6000fd,The Lady of Shalot: homer,2D,Art2or3,fresco_mosaic,Artwork","Fresco_Mosaic"
"SET 21","2116049304.jpg","03.14.6","Detail of the Man and Woman Seated Side by Side Wall Painting from the Villa of P. Fannius Synistor at Boscoreale in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Man and woman seated side by side: From Room H of the Villa of P. Fannius Synistor at Boscoreale, ca. 4030 B.C.; Late Republican;Roman;Wall painting; Fresco: 69 x 76 in. (175.3 x 193 cm);Rogers Fund, 1903 (03.14.6);;This fresco panel from Boscoreale depicts a man and woman seated side by side. To the right is the heroic figure of a semi-nude man lounging on an elaborate, gilded chair. A dark-colored himation is loosely draped across his loins. Unfortunately, damage to the fresco has obliterated the upper part of the man's head, which was turned in profile toward the woman seated to his right. He rests his hands on a short gilded staff firmly set on the ground in front of him. Most likely this is a scepter, an ancient symbol of regal power that was also an attribute of Zeus, ruler of the Olympian gods. For Hellenistic dynasts, the scepter retained a strong meaning of justice. The late third-century B.C. philosopher Theophrastus advised that 'the true king should rule by the scepter and not the spear&quot; (Peri basileias II).;;To the left is a seated woman wearing a chiton and a himation that is drawn up over the back of her head. She rests her feet on a gilded footstool, and leans her chin on her hand in a gesture of reflection. Based on stylistic comparisons with other works of art, it has been suggested that the seated figures represent Achilles and his mother Thetis. For the spectator in antiquity, the woman's melancholy countenance and the gesture with her right hand may have been read as expressions of Thetis' concern or grief at the fate of her only son. More recently, however, it has been suggested that the woman represents the wife of the seated Hellenistic ruler to her left. As Roman aristocrats greatly admired Alexander the Great and the first generation of his successors, this seated ruler may be a dynast of the early Hellenistic period. The inclusion of this panel and the others that once adorned Room H of the villa at Boscoreale would have created a majestic interior that had particular relevance to political life in Rome during the time the villa was decorated, sometime between 60 and 30 B.C. This period in Roman history witnessed a series of great military rulersPompey the Great, Julius Caesar, and Marc Antonyall of whom were viewed as latter-day Alexanders who eventually would conquer the East for Rome.;;Text from: <a href=http://www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm>www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: painting,ElissaSCA: boscoreale,ElissaSCA: villa,ElissaSCA: fujifinepixs6000fd,The Lady of Shalot: homer,2D,Art2or3,fresco_mosaic,Artwork","Fresco_Mosaic"
"SET 21","2116049310.jpg","03.14.6","Detail of the Man and Woman Seated Side by Side Wall Painting from the Villa of P. Fannius Synistor at Boscoreale in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Man and woman seated side by side: From Room H of the Villa of P. Fannius Synistor at Boscoreale, ca. 4030 B.C.; Late Republican;Roman;Wall painting; Fresco: 69 x 76 in. (175.3 x 193 cm);Rogers Fund, 1903 (03.14.6);;This fresco panel from Boscoreale depicts a man and woman seated side by side. To the right is the heroic figure of a semi-nude man lounging on an elaborate, gilded chair. A dark-colored himation is loosely draped across his loins. Unfortunately, damage to the fresco has obliterated the upper part of the man's head, which was turned in profile toward the woman seated to his right. He rests his hands on a short gilded staff firmly set on the ground in front of him. Most likely this is a scepter, an ancient symbol of regal power that was also an attribute of Zeus, ruler of the Olympian gods. For Hellenistic dynasts, the scepter retained a strong meaning of justice. The late third-century B.C. philosopher Theophrastus advised that 'the true king should rule by the scepter and not the spear&quot; (Peri basileias II).;;To the left is a seated woman wearing a chiton and a himation that is drawn up over the back of her head. She rests her feet on a gilded footstool, and leans her chin on her hand in a gesture of reflection. Based on stylistic comparisons with other works of art, it has been suggested that the seated figures represent Achilles and his mother Thetis. For the spectator in antiquity, the woman's melancholy countenance and the gesture with her right hand may have been read as expressions of Thetis' concern or grief at the fate of her only son. More recently, however, it has been suggested that the woman represents the wife of the seated Hellenistic ruler to her left. As Roman aristocrats greatly admired Alexander the Great and the first generation of his successors, this seated ruler may be a dynast of the early Hellenistic period. The inclusion of this panel and the others that once adorned Room H of the villa at Boscoreale would have created a majestic interior that had particular relevance to political life in Rome during the time the villa was decorated, sometime between 60 and 30 B.C. This period in Roman history witnessed a series of great military rulersPompey the Great, Julius Caesar, and Marc Antonyall of whom were viewed as latter-day Alexanders who eventually would conquer the East for Rome.;;Text from: <a href=http://www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm>www.metmuseum.org/toah/hd/cubi/hod_03.14.6.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: painting,ElissaSCA: boscoreale,ElissaSCA: chair,ElissaSCA: villa,ElissaSCA: furniture,ElissaSCA: fujifinepixs6000fd,2D,Art2or3,fresco_mosaic,Artwork","Fresco_Mosaic"
"SET 21","2116107054.jpg","03.14.5","Seated Woman Playing a Kithara Wall Painting from the Villa of P. Fannius Synistor at Boscoreale in the Metropolitan Museum of Art, Sept. 2007","ElissaSCA","Seated woman playing a kithara: From Room H of the Villa of P. Fannius Synistor at Boscoreale, ca. 4030 B.C.; Late Republican;Roman;Wall painting; Fresco: 72 1/2 x 72 1/2 in. (186 x 186 cm);Rogers Fund, 1903 (03.14.5);;This painting of a seated woman playing a kithara is from Room H, either a dining room (triclinium) or a room for social gatherings (oecus), in the villa at Boscoreale. Each of the paintings that originally adorned this room derives from the Greek tradition of megalographia, or large-scale painting, about which so much was written in antiquity; Apollinaris of Sidonius, Petronius in the Satyricon, and Vitruvius all shed light on the use of megalographia in Roman villas.;;In this fresco, the kithara player is depicted as a plump young woman clothed in a purple chiton and white himation. She is adorned with a bracelet, earrings, and headband with a central medallion, all of gold. A small figure of Atlas supports the arm of her elaborately carved chair that originally was lacquered a deep lustrous red. The instrument she plays is not a simple lyre, but a gilded kithara, a large concert instrument played by Apollo and professional musicians. Behind the seated woman stands a small girl wearing a sleeveless purple chiton. She, too, is adorned with a gold headband, bracelet, and loop earrings. Like portrait figures, the woman and the girl gaze directly at the spectator.;;Most recently it has been suggested that the pair may represent a Macedonian queen, or princess, and her daughter or younger sister. The gilded kithara and richly adorned, thronelike chair, as well as the carefully rendered gold jewelry and headbands, give the impression of royal personage. Whatever the exact subject, this painting and others in the villa were admired as excellent copies of Hellenistic art that emphasized the erudition and worldliness of the villa's owner.;;Text from: <a href=http://www.metmuseum.org/toah/hd/cubi/hod_03.14.5.htm>www.metmuseum.org/toah/hd/cubi/hod_03.14.5.htm</a>","ElissaSCA: metropolitanmuseum,ElissaSCA: museum,ElissaSCA: art,ElissaSCA: met,ElissaSCA: mma,ElissaSCA: manhattan,ElissaSCA: newyork,ElissaSCA: newyorkcity,ElissaSCA: ny,ElissaSCA: nyc,ElissaSCA: 2007,ElissaSCA: ancient,ElissaSCA: ancientworld,ElissaSCA: roman,ElissaSCA: painting,ElissaSCA: boscoreale,ElissaSCA: villa,ElissaSCA: musician,ElissaSCA: chair,ElissaSCA: red,ElissaSCA: fujifinepixs6000fd,ElissaSCA: fresco,2D,Art2or3,fresco_mosaic,Artwork","Fresco_Mosaic"
"SET 21","4129280874.jpg","-","Portrait of a Young Man in Three-Quarter View Looking over His Left Shoulder  Anonymous, Italian, Roman-Bolognese, 17th century  1600-1700, MET, NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
"SET 21","4129281244.jpg","-","Portrait  Anonymous, Italian, Roman-Bolognese, 17th century  1600-1700. MET NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
"SET 21","4129281588.jpg","-","Portrait of a Woman  Anonymous, Italian, Roman-Bolognese, 17th century  1600-1700  . MET NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
"SET 21","4147472057.jpg","-","Portrait of Giovanni Battista Rossa  Ottavio Leoni (Il Padovano)  1610 - 1630. MET, NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
"SET 21","4147472315.jpg","-","Anonymous portrait after Holbein  Francesco Bartolozzi  ca. 1794 - 1802. MET, NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
"SET 21","4147472633.jpg","-","Anonymous portrait after Holbein  Francesco Bartolozzi  ca. 1794 - 1802. 2, MET, NYC","renzodionigi","NA","renzodionigi: portrait,renzodionigi: ritratto,renzodionigi: arte,renzodionigi: italiana,renzodionigi: italian,renzodionigi: art,renzodionigi: fine,renzodionigi: painting,renzodionigi: sculpture,renzodionigi: design,2D,Art2or3,drawing,Artwork","Drawing"
